id,vendor,model,model_year,vin
978,Nissan,Xterra,2002,2G4WB55K131092025
979,Chevrolet,Corvette,1985,3N1AB6AP9CL573759
980,Ford,Mustang,1966,1G6KD57988U828559
981,Mitsubishi,Pajero,1993,2C3CDXHG5CH511848
982,Buick,Regal,2002,JN8AE2KP7C9287191
983,Mercedes-Benz,G-Class,2002,1G6DL67A690769211
984,Nissan,Quest,1999,19UUA56762A695566
985,Ford,Aerostar,1995,2C3CK3CV8AH380738
986,Hyundai,Elantra,2003,5FNYF3H47FB600356
987,GMC,Savana,2009,3D7LT2ET2BG788366
988,Lexus,GX,2012,WAUGL78E97A575035
989,Volvo,940,1994,KNAFU6A21B5499752
990,Toyota,Venza,2013,1FMJU1H53AE916814
991,Suzuki,SJ,1986,WBA3A9C55FK989980
992,Chevrolet,Suburban 1500,2005,2T1BU4EE6DC819115
993,Ford,E250,2012,WA1VMAFE6BD071308
994,Aston Martin,V8 Vantage,2012,KMHGH4JH4EU187662
995,Ford,Contour,1998,4T1BD1EB1EU783824
996,Subaru,Brat,1986,1B3CB1HA4AD128909
997,Chevrolet,3500,1998,WP0CB2A8XFS895002
998,Ford,E-Series,2005,5FRYD3H23FB677342
999,Mazda,626,2001,WBAYE8C59ED779504
1000,Mitsubishi,3000GT,1996,2G4WF551611886253
